"province.name","year","province.code","iso.subdivisioncode","indec.prov.code","area","date.gov","date.gov2","pres.election","legis.election","senate.election","house.election","gov.name","gov.lastname","gov.firstname","gov.born","ltgov.lastname","ltgov.firstname","gov.party","gov.party.acronym","female_gov","female_ltgov","interrupted","gov.died","tenure.began","tenure.ended","tenure.expected","runner.up","winner.pct.1","runner.up.pct.1","margin.1","enp.gov.1","enp.gov.change","winner.pct.2","runner.up.pct.2","margin.2","enp.gov.2","incumbent","govelecrule","gov.minvotes","gov.altrule","gov.dsv","govelecrule_annotation","assembly.type","house.size","house.cycle","senate.size","senate.cycle","pj_Pres.votes.pct","pj.all_Pres.votes.pct","natHouse.seats","natHouse.magnitude","gdp.growth","gdp.growth_lag","gdp.growth_tenure","inflation","inflation_lag","inflation_tenure"
"LA RIOJA",1973,112,"AR-F",46,90303,1973-03-11,NA,1,1,0,0,"CARLOS SAUL MENEM","MENEM","CARLOS SAUL",1930,"SANCHEZ","LIBARDO","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"UNION CIVICA RADICAL",57.4934123847167,29.061863696251,28.4315486884657,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"PARTIAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"MENDOZA",1973,113,"AR-M",50,148651.9,1973-03-11,1973-04-15,1,1,0,0,"ALBERTO MARTINEZ BACA","MARTINEZ BACA","ALBERTO",1906,"MENDOZA","CARLOS","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1974-06-05,1977-05-25,"DEMOCRATA",48.2524991690742,21.8707531825932,26.381745986481,-99,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",48,"PARTIAL",38,"PARTIAL",-99,-99,10,NA,2.811754041,1.628416516,3.93686818732,61.24907655,58.44588511,45.6357460556
"MISIONES",1973,114,"AR-N",54,29758.7,1973-03-11,1973-04-15,1,1,0,0,"MIGUEL ANGEL ALTERACH","ALTERACH","MIGUEL ANGEL",1922,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"UNION CIVICA RADICAL",36.9245900697815,26.7330499956925,10.191540074089,-99,-99,59.3274469284238,39.343054090377,19.9843928380468,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"PARTIAL",-88,".",-99,-99,7,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"NEUQUEN",1973,115,"AR-Q",58,93396.4,1973-03-11,1973-04-15,1,1,0,1,"FELIPE SAPAG","SAPAG","FELIPE",1917,"NDA","NDA","MOVIMIENTO POPULAR NEUQUINO","MPN",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"FRENTE JUSTICIALISTA DE LIBERACION",49.8045839957605,35.2444356120827,14.5601483836778,-99,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"TOTAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"RIO NEGRO",1973,116,"AR-R",62,206174.8,1973-03-11,NA,1,1,0,0,"MARIO JOSE FRANCO","FRANCO","MARIO JOSE",1923,".",".","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"PROVINCIAL RIONEGRINO",46.1039093184639,24.8316001546633,21.2723091638006,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"TOTAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"SALTA",1973,117,"AR-A",66,155702.8,1973-03-11,NA,1,1,0,0,"MIGUEL ANGEL RAGONE","RAGONE","MIGUEL ANGEL",1921,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1974-11-23,1977-05-25,"MOVIMIENTO POPULAR SALTEÑO",57.2058283335374,15.6846031402172,41.5212251933202,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",-99,"PARTIAL",-99,"PARTIAL",-99,-99,7,NA,2.811754041,1.628416516,4.43700754906593,61.24907655,58.44588511,38.6952581293407
"SAN JUAN",1973,118,"AR-J",70,89601.3,1973-03-11,1973-04-15,1,1,0,0,"ELOY PROSPERO CAMUS","CAMUS","ELOY PROSPERO",1903,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"BLOQUISTA",33.6003397665093,35.8024020702052,-2.20206230369595,-99,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",30,"TOTAL",-88,".",-99,-99,6,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"SAN LUIS",1973,119,"AR-D",74,77179.3,1973-03-11,1973-04-15,1,1,0,0,"ELIAS ADRE","ADRE","ELIAS",1920,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"OTHER PARTIES",40.6049588446195,21.6694440236328,18.9355148209867,-99,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"NDA",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"SANTA CRUZ",1973,120,"AR-Z",78,246396.4,1973-03-11,NA,1,1,0,0,"JORGE CEPERNIC","CEPERNIC","JORGE",1915,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1974-10-04,1977-05-25,"UNION CIVICA RADICAL",50.2026803441429,35.8289212442091,14.3737590999338,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",24,"PARTIAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,4.3264433508871,61.24907655,58.44588511,40.2295694458064
"SANTA FE",1973,121,"AR-S",82,133029.9,1973-03-11,1973-04-15,1,1,0,0,"CARLOS SYLVESTRE BEGNIS","BEGNIS","CARLOS SYLVESTRE",1903,"CUELLO","HORACIO","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1976-03-24,1977-05-25,"ALIANZA POPULAR FEDERALISTA",42.3910568417314,26.5348549876981,15.8562018540333,3.46692522299191,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",50,"TOTAL",19,"TOTAL",-99,-99,19,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"SANTIAGO DEL ESTERO",1973,122,"AR-G",86,136461.2,1973-03-11,1973-09-23,1,1,0,0,"CARLOS JUAREZ","JUAREZ","CARLOS",1917,".",".","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-10-07,1976-03-24,1977-10-07,"OTHER PARTIES",28.2514649404758,37.0161862343521,-8.76472129387632,-99,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"TOTAL",-88,".",-99,-99,7,NA,2.811754041,1.628416516,2.31731893558352,61.24907655,58.44588511,130.725987674165
"TUCUMAN",1973,123,"AR-T",90,22517.7,1973-03-11,NA,1,1,0,0,"AMADO NICOMEDES JURI","JURI","AMADO NICOMEDES",1916,".",".","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"VANGUARDIA FEDERAL",51.1013597937949,20.2386211793914,30.8627386144035,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",-99,"PARTIAL",-99,"PARTIAL",-99,-99,9,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
